Title,Company,Location,Type
Production Engineer,Alex form -,"Ameria, Alexandria, Egypt","Full Time
On-site"
Technical Support Engineer,Deutschland Technology Limited -,"Obour City, Cairo, Egypt","Full Time
On-site"
Senior - Staff IOS Native Software Engineer,Expiwell -,"Cairo, Egypt","Full Time
Remote"
Senior Industrial Engineer (Steel Fabrication),Zamil Steel Buildings Co -,"6th of October, Giza, Egypt","Full Time
On-site"
"Software Test Engineer (Manual & Automation) (Full-Time, Remote)",iBrokerage Ltd. -,"Cairo, Egypt","Full Time
Remote"
Sales Engineer - Supermarkets & Shops fitting,Arab Mechanical Engineers -,"Nasr City, Cairo, Egypt","Full Time
On-site"
"Application Support Engineer ""Outsource""",Efada Technology -,"6th of October, Giza, Egypt","Full Time
Hybrid"
Site Technical Office Engineer,ADCONS -,"Cairo, Egypt","Full Time
On-site"
Senior Electrical Engineer - Construction,Confidential -,"Qusayr, Red Sea, Egypt","Full Time
On-site"
Production Engineer,Confidential -,"6th of October, Giza, Egypt","Full Time
On-site"
Sr. Electrical Maintenance Engineer,FlexFilms Egypt -,"Giza, Egypt","Shift Based
On-site"
Network & Security Engineer,Al Watania Poultry -,"Smart Village, Giza, Egypt","Full Time
On-site"
Architecture Technical Office Engineer,Qawafil For Real Estate Investment -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Sales Engineer,Sholex Trade -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Senior AI Engineer,LavaLoon -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Hardware Test Engineer,etisal for advanced industries -,"6th of October, Giza, Egypt","Full Time
On-site"
Technical Audit Engineer,Arma-HSA -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
QS Engineer (Civil),Confidential -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Electrical Testing Engineer,Elsewedy Electric -,"10th of Ramadan City, Cairo, Egypt","Full Time
On-site"
Demand Planning Engineer,Kandil Industries -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Technical office engineer,TMA For Industrial Supplies -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Site Engineer,Quantum Automatic Systems -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Senior Reliability Maintenance Engineer (Mobile Equipment),Confidential -,"Alexandria, Egypt","Full Time
On-site"
Application Support Engineer,Erada -,"Maadi, Cairo, Egypt","Full Time
On-site"
Odoo Master Data Assistant,MATGR For Engineering And Trading -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Electrical Maintenance Engineer,ICON Holding -,"Helwan, Cairo, Egypt","Internship
On-site"
Technical Office Engineer,Egypt Africa -,"Katameya, Cairo, Egypt","Full Time
On-site"
Front-End Software Engineering Internship,HENNGE -,"Tokyo, Japan","Internship
On-site"
"Operational Excellence Engineer "" Internship""",ICON Holding -,"Helwan, Cairo, Egypt","Internship
On-site"
Production Engineer Internship,ICON Holding -,"Helwan, Cairo, Egypt","Internship
On-site"
"Mechanical Maintenance Engineer "" Internship""",ICON Holding -,"Helwan, Cairo, Egypt","Internship
On-site"
Senior DevOps Engineer,Vertex Technologies -,"Cairo, Egypt","Full Time
On-site"
Senior Network Engineer,Egypt University of Informatics (EUI) -,"New Capital, Cairo, Egypt","Full Time
On-site"
"Safety Engineer "" Internship""",ICON Holding -,"Helwan, Cairo, Egypt","Internship
On-site"
MRP Engineer,Kandil Industries -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Junior Electrical Procurement Engineer,Modern Controls -,"Giza, Egypt","Full Time
On-site"
Junior Sales Engineer,GloBAS Group -,"Dubai, United Arab Emirates","Internship
Remote"
Production Planning Engineer,Kandil Industries -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Quality Control Engineer - Steel,EEC Group -,"Belbes, Sharqia, Egypt","Full Time
On-site"
Technical Support / Application Support Engineer,eVision -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Packaging Engineer,Dabur -,"10th of Ramadan City, Cairo, Egypt","Internship
On-site"
Full Stack Software Engineering Internship,HENNGE -,"Tokyo, Japan","Internship
On-site"
Quality Control Engineer,Trust -,"khanka, Qalubia, Egypt","Full Time
On-site"
Quality Engineer,FUTEC -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Procurement Engineer,Arabtec -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Production Engineer,Elsewedy Electric -,"10th of Ramadan City, Cairo, Egypt","Full Time
On-site"
MEP Technical Office Engineer,Conserv -,"Cairo, Egypt","Full Time
On-site"
"Warehousing Engineer "" Internship""",ICON Holding -,"Helwan, Cairo, Egypt","Internship
On-site"
"Supply Chain Planning Engineer "" Internship""",ICON Holding -,"Helwan, Cairo, Egypt","Internship
On-site"
Broadcast IT Engineer,Al Ghad TV -,"6th of October, Giza, Egypt","Full Time
On-site"
Jr.Electrical Design Engineering Consultant,Vital Konzept -,"Maadi, Cairo, Egypt","Full Time
On-site"
Electrical Engineer - Steel Factory,Confidential -,"Riyadh, Saudi Arabia","Full Time
On-site"
Senior Sales Engineer,Masry for Engineering & trading -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Bid & Proposal Engineer,EAST -,"Cairo, Egypt","Full Time
On-site"
Senior System Engineer,Talaat Moustafa Group -,"Dokki, Giza, Egypt","Full Time
On-site"
Sales Engineer - Compressor & Air Blower,Aerzen North Africa -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Technical Talent Acquisition Specialist (Software & Engineering),OYA ENERGY -,"Sheikh Zayed, Giza, Egypt","Full Time
On-site"
IT Manager,Cloverbrook Textiles Egypt -,"6th of October, Giza, Egypt","Full Time
On-site"
Continuous Improvement Engineer,Groupe- Atlantic -,"10th of Ramadan City, Cairo, Egypt","Full Time
On-site"
Microbiology Lab Engineer,Beyti - an Almarai Subsidiary -,"Noubaria, Beheira, Egypt","Full Time
On-site"
Food Safety Engineer,Beyti - an Almarai Subsidiary -,"Noubaria, Beheira, Egypt","Full Time
On-site"
Software Tester (QA Engineer),Ayvo -,"Jeddah, Saudi Arabia","Full Time
Remote"
Quality Control Engineer,TechJump -,"Alexandria, Egypt","Full Time
Hybrid"
AI/ML Backend Engineer (Junior - Mid-Level),qartas -,"New Capital, Cairo, Egypt","Full Time
On-site"
AI Lead,Efada Technology -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Software Developer Engineer,Confidential -,"Cairo, Egypt","Full Time
On-site"
Production Section Head - Sheet Metal,Badawy - BEECO -,"Cairo, Egypt","Full Time
On-site"
Warehouse Supervisor,Egyptian Engineering Company -,"6th of October, Giza, Egypt","Full Time
On-site"
Mid-level Android Developer,Expert Apps -,"Maadi, Cairo, Egypt","Full Time
Hybrid"
Procurement Specialist,Confidential -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Technical Procurement Specialist,Confidential -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
EHS Specialist,Confidential -,"Alsadat City, Monufya, Egypt","Full Time
On-site"
Business Analytics Head,Confidential -,"Shorouk City, Cairo, Egypt","Full Time
On-site"
Solutions Architect – e-Invoicing Integrations,Intelleti LLC -,"Cairo, Egypt","Full Time
Remote"
Material Requirements Planning (MRP) Supervisor,Tank -,"10th of Ramadan City, Cairo, Egypt","Full Time
On-site"
Landscape Lead Architect,Capital Link Developments -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Experienced Tenter Frame Operator,Saudi-account-test2 -,"Jeddah, Saudi Arabia","Full Time
Part Time
Freelance / Project
Remote"
Electrical Estimators,Jacob Electric Ltd -,"Vancouver, Canada","Full Time
Remote"
Global Project Manager,K Line Europe -,"Nasr City, Cairo, Egypt","Full Time
Shift Based
Remote"
BIM Engineer (French Speaker),Atkins Realis -,"Cairo, Egypt","Full Time
Hybrid"
Civil & Architecture Procurement Department Manager,Confidential -,"Madinaty, Cairo, Egypt","Full Time
On-site"
Monitor-CS,Mico World Limited -,"Maadi, Cairo, Egypt","Full Time
On-site"
Quality Manager,TEPCO S.A.E. -,"Obour City, Cairo, Egypt","Full Time
On-site"
Supply Chain Analyst .,Confidential -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Quality Control Analyst,Nada account -,"6th of October, Giza, Egypt","Full Time
On-site"
Senior Business Development Engineer,Valmore Holding -,"6th of October, Giza, Egypt","Full Time
On-site"
Oracle Developer,National Technology -,"Nasr City, Cairo, Egypt","Full Time
Hybrid"
Product Manager,Bokra -,"Maadi, Cairo, Egypt","Full Time
On-site"
Senior Logistics Specialist,TEPCO S.A.E. -,"Obour City, Cairo, Egypt","Full Time
On-site"
Health and Safety Specilaist,Egypt Gold -,"Obour City, Cairo, Egypt","Full Time
On-site"
Factory Manager,Confidential -,"Belbes, Sharqia, Egypt","Full Time
On-site"
Planning Team Leader - Civil,Confidential -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Electrical Lead,Fine Hygienic Holding -,"6th of October, Giza, Egypt","Full Time
On-site"
Logistics Manager,Confidential -,"Cairo, Egypt","Full Time
On-site"
Senior Business Developer,Procrew -,"Alexandria, Egypt","Full Time
On-site"
Technical Support Specialist,Talaat Moustafa Group -,"New Cairo, Cairo, Egypt","Full Time
On-site"
SAP Material Engineer (MM Module),ORGANI GROUP -,"Cairo, Egypt","Full Time
On-site"
Calibration Specialist,Mymsa -,"Cairo, Egypt","Full Time
On-site"
Foreign Procurement Specialist,Sphinx Glass -,"Alsadat City, Monufya, Egypt","Full Time
On-site"
"Health, Safety & Environmental Section Head",Sadko Plast -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Quality Control Lead,Tawfeer -,"Maadi, Cairo, Egypt","Full Time
On-site"
Energy Engineer,Optima Solutions Group -,"6th of October, Giza, Egypt","Full Time
Hybrid"
